Age,Job,Marital,Education,Default,Balance,Housing,Loan,Contact,Day,Month,Duration,Campaign,Pdays,Previous,Poutcome,Y
75,retired,divorced,tertiary,no,3810,yes,no,cellular,16,nov,262,1,183,1,failure,yes
29,management,single,tertiary,no,765,no,no,cellular,16,nov,238,1,-1,0,unknown,yes
28,self-employed,single,tertiary,no,159,no,no,cellular,16,nov,449,2,33,4,success,yes
59,management,married,tertiary,no,138,yes,yes,cellular,16,nov,162,2,187,5,failure,no
68,retired,married,secondary,no,1146,no,no,cellular,16,nov,212,1,187,6,success,yes
25,student,single,secondary,no,358,no,no,cellular,16,nov,330,1,-1,0,unknown,yes
36,management,single,secondary,no,1511,yes,no,cellular,16,nov,270,1,-1,0,unknown,yes
37,management,married,tertiary,no,1428,no,no,cellular,16,nov,333,2,-1,0,unknown,no
34,blue-collar,single,secondary,no,1475,yes,no,cellular,16,nov,1166,3,530,12,other,no
38,technician,married,secondary,no,557,yes,no,cellular,16,nov,1556,4,-1,0,unknown,yes
53,management,married,tertiary,no,583,no,no,cellular,17,nov,226,1,184,4,success,yes
34,admin.,single,secondary,no,557,no,no,cellular,17,nov,224,1,-1,0,unknown,yes
23,student,single,tertiary,no,113,no,no,cellular,17,nov,266,1,-1,0,unknown,yes
73,retired,married,secondary,no,2850,no,no,cellular,17,nov,300,1,40,8,failure,yes
25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
51,technician,married,tertiary,no,825,no,no,cellular,17,nov,977,3,-1,0,unknown,yes
71,retired,divorced,primary,no,1729,no,no,cellular,17,nov,456,2,-1,0,unknown,yes
72,retired,married,secondary,no,5715,no,no,cellular,17,nov,1127,5,184,3,success,yes
57,blue-collar,married,secondary,no,668,no,no,telephone,17,nov,508,4,-1,0,unknown,no
37,entrepreneur,married,secondary,no,2971,no,no,cellular,17,nov,361,2,188,11,other,no
